1	5	1	2	8	15	0	0	0	0	0	0
800	1	0	0	0	0	0	0	0	0	0	0
100	1	0	85.63	0.49	1	0	0	0	0	0	0
100	1	0	85.63	0.49	1	0	0	0	0	0	0
100	1	0	85.63	0.49	1	0	0	0	0	0	0
100	1	0	85.63	0.49	1	0	0	0	0	0	0
100	1	0	85.63	0.49	1	0	0	0	0	0	0
50	150	0	0	0	0	230	0	0	99999	0	0
50	75	0	0	0	0	230	0	0	99999	0	0
50	25	0	0	0	0	230	0	0	99999	0	0
50	75	0	0	0	0	230	0	0	0	0	0
50	25	0	0	0	0	230	0	0	0	0	0
48	60	0	0	0	0	230	0	0	0	0	0
21	22	0	0	0	0	230	0	0	0	0	0
51	7	0	0	0	0	230	0	0	0	0	0
64	19	0	0	0	0	230	0	0	0	0	0
35	35	0	0	0	0	230	0	0	0	0	0
64	37	0	0	0	0	230	0	0	0	0	0
55	5	29	3	26	203	233	10	0	0	0	0
32	12	7	3	4	282	312	10	0	0	0	0
47	47	13	13	0	224	254	10	0	0	0	0
37	47	6	5	1	257	287	10	0	0	0	0
16	22	41	30	11	199	229	10	0	0	0	0
65	20	6	2	4	272	302	10	0	0	0	0
53	12	6	1	5	164	194	10	0	0	0	0
15	30	26	13	13	269	299	10	0	0	0	0
37	56	5	3	2	155	185	10	0	0	0	0
41	37	16	14	2	299	329	10	0	0	0	0
64	42	9	6	3	223	253	10	0	0	0	0
10	43	9	2	7	143	173	10	0	0	0	0
55	60	16	15	1	188	218	10	0	0	0	0
25	24	20	19	1	246	276	10	0	0	0	0
5	30	2	0	2	193	223	10	0	0	0	0
