1	3	1	1	4	10	0	0	0	0	0	0
800	1	0	0	0	0	0	0	0	0	0	0
100	1	0	77.75	3.47	1	0	0	0	0	0	0
100	1	0	77.75	3.47	1	0	0	0	0	0	0
100     1       0       77.75   3.47    1       0       0       0       0       0       0
50	150	0	0	0	0	1236	0	0	99999	0	0
50	75	0	0	0	0	1236	0	0	99999	0	0
50	75	0	0	0	0	1236	0	0	0	0	0
57	82	0	0	0	0	1236	0	0	0	0	0
22	34	0	0	0	0	1236	0	0	0	0	0
76	21	0	0	0	0	1236	0	0	0	0	0
53	30	10	6	4	101	1223	90	0	0	0	0
8	45	20	4	16	101	1214	90	0	0	0	0
85	25	10	3	7	101	1195	90	0	0	0	0
42	66	10	6	4	101	1230	90	0	0	0	0
65	60	30	28	2	101	1220	90	0	0	0	0
60	80	10	8	2	278	344	90	0	0	0	0
33	32	20	19	1	101	1227	90	0	0	0	0
28	52	20	11	9	101	1234	90	0	0	0	0
40	15	40	15	25	101	1212	90	0	0	0	0
28	30	10	9	1	101	1223	90	0	0	0	0
