1	4	1	1	4	10	0	0	0	0	0	0
2000	1	0	0	0	0	0	0	0	0	0	0
250	1	0	77.75	0.39	1	0	0	0	0	0	0
250	1	0	77.75	0.39	1	0	0	0	0	0	0
250	1	0	77.75	0.39	1	0	0	0	0	0	0
250     1       0       77.75   0.39    1       0       0       0       0       0       0
50	150	0	0	0	0	960	0	0	99999	0	0
50	75	0	0	0	0	960	0	0	99999	0	0
50	75	0	0	0	0	960	0	0	0	0	0
57	82	0	0	0	0	960	0	0	0	0	0
14	59	0	0	0	0	960	0	0	0	0	0
39	26	0	0	0	0	960	0	0	0	0	0
26	52	9	5	4	319	439	10	0	0	0	0
5	45	10	1	9	299	419	10	0	0	0	0
49	58	10	8	2	885	1005	10	0	0	0	0
24	58	19	8	11	662	782	10	0	0	0	0
65	35	3	2	1	239	359	10	0	0	0	0
55	85	20	13	7	203	323	10	0	0	0	0
61	52	3	3	0	418	538	10	0	0	0	0
40	15	40	15	25	722	842	10	0	0	0	0
55	60	16	15	1	658	778	10	0	0	0	0
6	68	30	3	27	140	260	10	0	0	0	0
